# Titles of the Catalog of Hittite Texts (CTH), one line per catalogue entry.
# S. Košak – G.G.W. Müller – S. Görke – Ch.W. Steitler, 2001–2026, Hethitologie-Portal Mainz.
# Licensed CC BY-SA 4.0, https://creativecommons.org/licenses/by-sa/4.0/ – see CTH-TITLES-TERMS.txt.
# Written by `cargo run --locked --release -p aruna --example cth_titles`; do not edit by hand.
# source: https://hethport.net/CTH/index.php?lang=EN
# fetched: 2026-09-22 04:54:05 UTC
# sha256: 31310a4e8dcd81140fa33f3a89bb820d05d48ca3c591c5fd4e74ef453ff2db86
# entries: 837
CTH 198	title	Letter from a Tutḫaliya to the king
CTH 199	title	Letter from Tarḫuntišša to Palla
CTH 200	title	Letter from Kaššu(?) to the king
CTH 201	title	Letter from Pazzu to the king
CTH 202	title	Letter from Mašḫuiluwa of Mira-Kuwaliya to Muršili II
CTH 203	title	Letter of a high-ranking official to the king
CTH 204	title	Letter from the king to Alziyamuwa
CTH 205	title	Letter from Tagi-Šarruma to the king
CTH 206	unassigned	
CTH 207	unassigned	
CTH 208	title	Fragments of letters in Akkadian
CTH 209	title	Fragments of letters in Hittite
CTH 210	title	Diverse fragments of letters
CTH 211	title	Fragments of annals
CTH 212	title	Fragments of treaties or instructions
CTH 213	title	Fragments of divine lists (of witnesses) in treaties and instructions
CTH 214	title	Fragments of historical texts
CTH 215	title	Undifferentiated fragments of historical texts
CTH 216	title	Fragments of historical texts in Akkadian
CTH 217	unassigned	
CTH 218	unassigned	
CTH 219	unassigned	
CTH 220	unassigned	
CTH 221	unassigned	
CTH 222	title	Royal land donation tablets
CTH 223	unassigned	
CTH 224	title	Land donation of Ḫattušili III to Ura-Tarḫunta
CTH 225	title	Land donation of Tutḫaliya IV to Šaḫurunuwa
CTH 226	unassigned	
CTH 227	unassigned	
CTH 228	unassigned	
CTH 229	title	Non-royal contracts
CTH 230	title	Itineraries
CTH 231	title	Lists of administrators (<sup>LÚ</sup>AGRIG)
CTH 232	title	Lists of palace personnel
CTH 233	title	Lists of families
CTH 234	title	Lists of men
CTH 235	title	Lists of women
CTH 236	title	Lists of men and soldiers
CTH 237	title	Lists of persons
CTH 238	title	Lists of cities
CTH 239	title	Lists of fields, cadaster
CTH 240	title	Texts concerning sales, purchases, and exchange
CTH 241	title	Inventories of chests (.I inventories, .II transportation texts (ŠA KASKAL))
CTH 242	title	Texts concerning the crafting of metal objects (.I gold and silver, .II copper)
CTH 243	title	Texts concerning textile and leather production (.I wool and hide processing, .II textile manufacture)
CTH 244	title	Inventories of domestic tribute (MADDATTU) (.I metals and durable goods, .II wool and garments)
CTH 245	title	Texts concerning distributions and handouts (.I under supervision (ĪDE), .II to named individuals, .III other)
CTH 246	title	Complex inventories (.I named, .II other)
CTH 247	title	Inventories concerned with condition and maintenance
CTH 248	title	Inventories connected with the state cult (.I temple inventories with comment on provisioning, .II detailed descriptions of cult images, .III texts concerning votive objects, .IV inventory fragments of cult images and figurines)
CTH 249	title	Inventories and inventory fragments (.I mixed inventories, .II textiles and garments, .III precious metal and stone objects and jewelry, .IV ivory and ebony objects, .V weapons and tools)
CTH 250	title	Miscellaneous inventories and administrative fragments
CTH 251	title	Instructions for dignitaries (<sup>LÚ.MEŠ</sup>DUGUD)
CTH 252	title	Instructions of Ašmunikkal for the caretakers of the mausoleum (É.NA₄)
CTH 253	title	Instructions of Šuppiluliuma I
CTH 254	title	Military instructions of Ḫattušili III
CTH 255	title	Instructions of Tutḫaliya IV to the princes, lords and courtiers (LÚ.MEŠ SAG)
CTH 256	title	Instructions of Šuppiluliuma II
CTH 257	title	Instructions of Arnuwanda I for the mayor (ḪAZANNU)
CTH 258	title	Instructions of a Tutḫaliya for stabilization of legal administration
CTH 259	title	Instructions of a Tutḫaliya for the military
CTH 260	title	Instructions of Arnuwanda I and Ašmunikkal for the dignitaries (<sup>LÚ.MEŠ</sup>DUGUD)
CTH 261	title	Instructions of Arnuwanda I for the frontier post governors (bēl madgalti)
CTH 262	title	Instructions for the royal body guard (<sup>LÚ.MEŠ</sup>MEŠEDI)
CTH 263	title	Instructions for the gatekeepers
CTH 264	title	Instructions for the priests and temple officials
CTH 265	title	Instructions for the palace servants
CTH 266	title	Instructions for the palace personnel
CTH 267	title	Instructions for the troops (<sup>LÚ.MEŠ</sup>UKU.UŠ)
CTH 268	title	Instructions for military commanders
CTH 269	title	Royal decree on social and economic reforms
CTH 270	title	Oath of Ašḫapala
CTH 271	title	Instructions on dynastic succession
CTH 272	title	Royal edict
CTH 273	unassigned	
CTH 274	unassigned	
CTH 275	title	Fragments of instructions and protocols
CTH 276	title	Catalog type: DUB.x<sup>KAM</sup>
CTH 277	title	Catalog type: x ṬUP-PU
CTH 278	title	Catalog type: x DUB UMMA/mān
CTH 279	title	Catalog type: mān/INIM, ohne DUB
CTH 280	title	Catalog type: DUB.x.BI
CTH 281	title	Catalog type: DUB.x<sup>KAM</sup> in left column
CTH 282	title	Various tablet catalogs
CTH 283	title	Shelf labels
CTH 284	title	Hippological instructions of Kikkuli
CTH 285	title	Hippological instructions with ritual introduction
CTH 286	title	Hippological instructions (Hittite)
CTH 287	title	Fragments of Hippological instructions
CTH 288	unassigned	
CTH 289	title	Chemical and glass recipes
CTH 290	unassigned	
CTH 291	title	Laws, first series: “If a man”
CTH 292	title	Laws, second series: “If a grapevine”
CTH 293	title	Deposition of Ukkura
CTH 294	title	Deposition of Kuniyapiya
CTH 295	title	Diverse depositions
CTH 296	title	Deposition of Pallariya
CTH 297	title	Uncertain identification as depositions
CTH 298	unassigned	
CTH 299	title	Sa
CTH 300	title	Diri
CTH 301	title	Erimḫuš
CTH 302	title	Ura
CTH 303	title	zi
CTH 304	title	Kagal
CTH 305	title	LU = ša
CTH 306	title	Sign list
CTH 307	unassigned	
CTH 308	unassigned	
CTH 309	title	Fragments of lexical lists
CTH 310	title	Hittite fragments of šar tamḫāri “King of Battle”
CTH 311	title	Naram-Sin in Anatolia
CTH 312	title	Hymn to Ištar
CTH 313	title	Hymn to Adad
CTH 314	title	Trilingual Hymn to Iškur-Adad
CTH 315	title	Message of Lú-dingir-ra to his mother
CTH 316	title	Akkadian-Hittite wisdom literature
CTH 317	unassigned	
